Feature,Description,Source,Type,Dtype,Method,Business_Meaning,ML_Value
Resolution_Time_Days,Resolution_Time_Hours / 24.,Ticket_Date / First_Response_Date / Resolve_Date,Date,float,Datetime component extraction / timedelta,Resolution speed in days.,"Same signal as above, different unit for reporting."
First_Response_Delay,Alias of Response_Time_Hours.,Ticket_Date / First_Response_Date / Resolve_Date,Date,float,Datetime component extraction / timedelta,Explicit business-facing name for SLA reporting.,Same as Response_Time_Hours.
Business_Days_To_Close,Business days between ticket creation and resolution.,Ticket_Date / First_Response_Date / Resolve_Date,Date,float,Datetime component extraction / timedelta,Resolution speed excluding weekends.,More accurate SLA measure than calendar days.
Complaint_Density,Support contacts per purchase.,"Customer_Support_Contacts, Purchase_Count",Numerical,float,Ratio,Friction normalized by purchase volume.,Strong candidate churn predictor.
Complaint_Ratio,Alias of Complaint_Density.,"Customer_Support_Contacts, Purchase_Count",Numerical,float,Ratio (alias),Same as Complaint_Density.,Same as Complaint_Density.
Purchase_Frequency,Purchases per month (12-month assumed window).,Purchase_Count,Numerical,float,Ratio (documented assumption),Engagement/frequency signal.,RFM-style core feature.
Orders_Per_Month,Alias of Purchase_Frequency.,Purchase_Count,Numerical,float,Ratio (alias),Business-facing name.,Same as Purchase_Frequency.
Resolution_Delay_Ratio,Share of total ticket time spent waiting for first response.,"Response_Time_Hours, Resolution_Time_Hours",Numerical,float,Ratio,Support-process efficiency signal.,Diagnoses WHERE delay occurs (response vs. resolution phase).
Spending_Per_Complaint,Total spend per (support contact + 1).,"Total_Spent, Customer_Support_Contacts",Numerical,float,Ratio,Value at risk per friction event.,"Helps prioritize high-value, high-friction customers."
Lifetime_Value_Per_Complaint,Alias of Spending_Per_Complaint.,"Total_Spent, Customer_Support_Contacts",Numerical,float,Ratio (alias),Business-facing name.,Same as Spending_Per_Complaint.
Customer_Activity_Score,0-100 composite of recency + frequency.,"Days_Since_Last_Purchase, Purchase_Count",Numerical,float,Min-max composite,Overall engagement level.,Single-number engagement summary for dashboards.
Support_Efficiency_Score,0-100 composite of resolution speed + contact volume.,"Resolution_Time_Hours, Customer_Support_Contacts",Numerical,float,Min-max composite,Support-experience quality.,Candidate churn predictor; interpretable for stakeholders.
Response_Efficiency_Score,0-100 score based on first-response speed.,Response_Time_Hours,Numerical,float,Min-max transform,First-contact responsiveness.,SLA-monitoring feature.
Customer_Engagement_Score,0-100 composite of activity + spend.,"Customer_Activity_Score, Total_Spent",Numerical,float,Min-max composite,Overall customer value + engagement.,Useful for retention-priority ranking.
Age_Group,Teen/Young Adult/Adult/Senior age bracket.,Age,Categorical (Ordinal),category,Business-threshold binning,Marketing-style age segmentation.,Ordinal Encoding candidate; interaction with spend.
Resolution_Category,Fast/Normal/Slow/Long resolution bucket.,Resolution_Time_Hours,Categorical (Ordinal),category,Business-threshold binning,SLA-tier classification.,Interpretable ordinal feature for churn model.
Complaint_Severity,Low/Medium/High/Critical support-friction bucket.,Customer_Support_Contacts,Categorical (Ordinal),category,Business-threshold binning,Escalation-tier classification.,Interpretable ordinal feature for churn model.
Character_Count,Raw character length of the review.,Review_Text / Clean_Review_Text,NLP,int,String length,Verbosity proxy.,Weak-to-moderate standalone signal.
Word_Count,Raw word count of the review.,Review_Text / Clean_Review_Text,NLP,int,Whitespace split,Verbosity/effort proxy.,Complements TF-IDF magnitude.
Sentence_Count,Number of sentences.,Review_Text / Clean_Review_Text,NLP,int,NLTK sent_tokenize,Structural complexity.,Low-to-moderate standalone signal.
Unique_Word_Count,Distinct words in cleaned text.,Review_Text / Clean_Review_Text,NLP,int,Set of tokens,Vocabulary breadth.,Input to Lexical_Diversity.
Average_Word_Length,Mean character length per word.,Review_Text / Clean_Review_Text,NLP,float,Mean token length,Formality/technicality proxy.,Weak standalone signal.
Uppercase_Count / Uppercase_Ratio,Count/share of uppercase characters.,Review_Text / Clean_Review_Text,NLP,int/float,Character scan,Emotional intensity proxy (ALL CAPS).,"Rare-event flag, may catch strong complaints."
Digit_Count / Digit_Ratio,Count/share of digit characters.,Review_Text / Clean_Review_Text,NLP,int/float,Character scan,References to quantities/prices/models.,Low prevalence in this corpus; weak signal.
Punctuation_Count,Count of punctuation characters.,Review_Text / Clean_Review_Text,NLP,int,Character scan,"Emotional intensity proxy (!!!, ???).",Weak-to-moderate standalone signal.
Special_Character_Count,"Count of non-alphanumeric, non-space characters.",Review_Text / Clean_Review_Text,NLP,int,Character scan,Text noise/formatting proxy.,Mostly overlaps with Punctuation_Count.
Stopword_Count / Stopword_Ratio,Count/share of English stopwords.,Review_Text / Clean_Review_Text,NLP,int/float,NLTK stopword list,Conversational vs. terse writing style.,Weak standalone signal.
Lexical_Diversity,Unique words / total words.,Review_Text / Clean_Review_Text,NLP,float,Type-token ratio,Vocabulary richness.,Moderate signal; very short reviews score artificially high.
Review_Length_Category,No Review/Short/Medium/Long word-count bucket.,Review_Text / Clean_Review_Text,NLP,category,Threshold binning,Interpretable length tier.,Ordinal Encoding candidate.
Review_Complexity,0.5 x Average_Word_Length + 0.5 x Sentence_Count.,Review_Text / Clean_Review_Text,NLP,float,Weighted composite,Writing complexity proxy.,Exploratory composite; validate against MI ranking.
Review_Readability,"Words per sentence (simplified proxy, not true Flesch score).",Review_Text / Clean_Review_Text,NLP,float,Ratio,Ease-of-reading proxy.,Documented approximation — not a validated readability formula.
tfidf_* (50 features),TF-IDF weight for top unigrams/bigrams (max_features=50).,Review_Text / Clean_Review_Text,NLP,float,TfidfVectorizer,Captures specific complaint/praise vocabulary.,Primary text-based signal source for the model.
Age_x_TotalSpent,Age multiplied by Total_Spent.,"Age, Total_Spent",Interaction,float,Multiplication of two business-meaningful features,Tests whether age moderates the spend effect.,Captures non-additive age/value interaction.
Age_x_AOV,Age multiplied by Average_Order_Value.,"Age, Average_Order_Value",Interaction,float,Multiplication of two business-meaningful features,Tests whether age relates to per-order spend.,Captures non-additive age/basket-size interaction.
Contacts_x_ResolutionTime,Support_Contacts multiplied by Resolution_Time_Hours.,"Customer_Support_Contacts, Resolution_Time_Hours",Interaction,float,Multiplication of two business-meaningful features,Flags 'compounding friction' cases.,Likely top-ranked interaction feature (Step 19).
PurchaseCount_x_Frequency,Purchase_Count multiplied by Purchase_Frequency.,"Purchase_Count, Purchase_Frequency",Interaction,float,Multiplication of two business-meaningful features,"Reinforces high-volume, high-frequency segment.",Partially redundant with its parent features.
WordCount_x_Sentiment,Word_Count multiplied by Sentiment_Score.,"Word_Count, Sentiment_Score",Interaction,float,Multiplication of two business-meaningful features,Weights sentiment by review detail/length.,EXCLUDED at modeling time — inherits Sentiment_Score's leakage risk.
